Expression,Gene/protein,Expression analysis,Expression value,adj P-value,P-value,Virus,Host,Sample,Condition,Methodology,Approach,Reference
Upregulated,SDF2L1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,TRA2B,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,GSPT1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,GTF2E2,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,GTF2F2,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,GUSB,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,HADH,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,HEXIM1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,NAA15,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,HMGN2,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,EIF4A3,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,NDUFB9,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,DDX18,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,IPO8,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,CIAPIN1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,BRD7,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,SLC25A22,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,KDM1A,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,ZMIZ1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,USP48,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,HDDC3,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,GNL1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,ADSL,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,LSM1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,KIF1BP,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,TSN,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,DBNL,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,CAB39,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,KDM3B,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,SLC25A3,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,SMS,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,MTHFD1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,AKR1C3,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,BUD13,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,PSMC4,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,EIF5,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,GOLGA5,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,SEPHS1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,RANBP9,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,MCAT,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,TBL3,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,ALDH6A1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,OPA1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,MTDH,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,PC,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,PDCD6,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,PDHB,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,PGAM5,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,RSBN1L,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,CFAP298,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,SMARCE1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,SQSTM1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,SDHA,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,POLR2C,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,POR,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,GFPT1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,NMT1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,PPIP5K2,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,RBM7,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,PSMD8,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,PRKACA,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,PRPF40A,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,PSMA4,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,TSFM,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,PSMD14,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,EFHD2,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,HDHD2,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,RAB35,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,RAB10,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,TMSB10,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,RAD23B,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,OSTF1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,DIP2B,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,C18orf32,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,NOP2,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,THOC6,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,RFC3,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,RHOA,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,RPL19,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,ANKZF1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,UQCRFS1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
